"run","column","lag","mumax","od0","odmax","residual","well","plate","row","strain","temperature"
1,3,32.1486664736283,0.00694737720296577,0.00599999991198691,0.76963636420218,1.32738536935234,"C3","Plate 01","C","PB1106",20
1,3,38.7969954756223,0.0237647196784789,-0.0339999975353972,0.8053,0.0330409875820025,"D3","Plate 01","D","PB1106",20
1,3,57.494289743515,0.0517666766343028,-0.0219999999483743,0.762181818181818,0.0210774561834562,"H3","Plate 01","H","PB1106",20
1,3,56.3480391919739,0.063232529021987,-0.108750000112648,0.8025,0.0184932884615385,"A3","Plate 01","A","PB1106",20
1,3,58.9273067269821,0.0287060213907228,0.0254999973358692,0.811819071984378,0.0383253695566703,"E3","Plate 01","E","PB1106",20
1,3,39.5388621393168,0.0272438296492993,-0.0700000007804358,0.799727272727273,0.0227772739549712,"G3","Plate 01","G","PB1106",20
1,3,57.5995639827127,0.0298514927078173,0.0260000001795723,0.8104,0.0341451387709773,"F3","Plate 01","F","PB1106",20
1,4,35.5654660678399,0.0247423761071912,-0.0670000003506486,0.8022,0.0366071368100192,"C4","Plate 01","C","PB1127",20
1,4,31.2039863673734,-3.51080970736536e-06,-0.0580000000038866,-0.0711818149782826,0.0176658900277868,"B4","Plate 01","B","PB1127",20
1,4,29.409929317767,0.00799008563509081,0.0234999999193377,0.810727273164183,1.07454803933001,"D4","Plate 01","D","PB1127",20
1,4,57.1388904116596,0.0444108506378415,0.00975000465642851,0.794,0.0305596617117118,"H4","Plate 01","H","PB1127",20
1,4,55.4448275827269,0.0556458064008653,0.36625,0.895846153846154,0.00715644230769232,"A4","Plate 01","A","PB1127",20
1,4,54.4546803010084,0.0286672411965744,0.0277499967042286,0.807,0.0259277019990129,"E4","Plate 01","E","PB1127",20
1,4,61.5785559830153,0.0304109436697071,0.0565000008067993,0.8079,0.0270922455083909,"F4","Plate 01","F","PB1127",20
1,4,56.610370539572,0.0567543198203044,0.0219999991448453,0.795693245956369,0.0134903821301572,"G4","Plate 01","G","PB1127",20
1,5,29.9753759771894,-0.0064974928652363,0.0934999999311082,0.500181819592937,2.25235116036046,"D5","Plate 01","D","PB1114",20
1,5,33.4632381068491,0.00325150491776558,-0.0159999999767383,0.702818182593613,3.1468471918491,"A5","Plate 01","A","PB1114",20
1,5,-283.699410344926,-0.000364495515763192,-0.239499999626167,-0.227399999985662,0.017984639988254,"C5","Plate 01","C","PB1114",20
1,5,27.8671522638497,-0.0105951013120131,-0.186999999836105,0.359818183669633,3.91087012108658,"B5","Plate 01","B","PB1114",20
1,5,32.0906412743527,0.00484240013973283,-0.0119999999357739,0.762727273314763,2.53907266094549,"E5","Plate 01","E","PB1114",20
1,5,53.8816567745701,0.0436256466701554,0.214000000103698,0.860443668876762,0.0103765713264646,"H5","Plate 01","H","PB1114",20
1,5,77.6473118201929,0.0892251723535193,0.272833333333333,0.838181818181818,0.0259544696969697,"F5","Plate 01","F","PB1114",20
1,5,41.2907835837606,0.00613788634716868,0.0619999999070017,0.809636364076696,1.88205087191645,"G5","Plate 01","G","PB1114",20
1,6,31.8314437121754,0.00401535529959209,-0.0119999999209794,0.77127272783341,3.18755671437148,"E6","Plate 01","E","PB1165",20
1,6,70.6999425254713,0.0524396988162569,0.336199999847825,0.803636363636364,0.0304455471486292,"B6","Plate 01","B","PB1165",20
1,6,63.1330335789943,0.0273913836859812,0.0322500019860766,0.819111111111111,0.0422855888796735,"D6","Plate 01","D","PB1165",20
1,6,34.0637592561917,0.00802870446969031,0.00199999991960992,0.799090909564324,1.19323733435811,"F6","Plate 01","F","PB1165",20
1,6,31.9643928312067,-0.00497982302936145,0.10400000011835,0.408363638062796,2.02105634576597,"A6","Plate 01","A","PB1165",20
1,6,31.5897132828693,0.000412268580146889,0.0679999999162902,0.743000000649377,4.87055421026154,"C6","Plate 01","C","PB1165",20
1,6,33.9833987196748,-0.00349926727839254,0.0449999998551041,0.640636364606864,3.03881089166327,"G6","Plate 01","G","PB1165",20
1,6,39.1479801523873,0.00564336471829458,0.148499999822162,0.833454545820159,1.5295071665883,"H6","Plate 01","H","PB1165",20
1,7,53.187621704925,0.0298057479771568,-0.00375001358266328,0.8085,0.0203162524679178,"E7","Plate 01","E","PB1174",20
1,7,57.3591702826483,0.035152799037306,0.0487500001110482,0.805363636363636,0.0229638287878788,"B7","Plate 01","B","PB1174",20
1,7,32.1874792284324,0.00700254694615387,1.8343743191096e-11,0.79200000049566,1.53701556945288,"F7","Plate 01","F","PB1174",20
1,7,57.8089683607547,0.0417037574207592,0.0422499995567161,0.801272727272727,0.0293720056920557,"C7","Plate 01","C","PB1174",20
1,7,62.0664795504842,0.028746513368378,0.139500000046057,0.8121,0.0978423081934847,"D7","Plate 01","D","PB1174",20
1,7,30.9512086245328,-0.00480929825685323,0.0559999998603825,0.549545455801715,2.48308933834791,"G7","Plate 01","G","PB1174",20
1,7,422.376430002414,2.37807349929686e-10,-0.0845,-0.0741999999821658,0.02056675,"A7","Plate 01","A","PB1174",20
1,7,83.6655405888894,0.0568689140179253,0.0635000000105402,0.83741300538483,0.0171223794883071,"H7","Plate 01","H","PB1174",20
1,8,69.9969844646021,0.046344602374898,0.423341767296211,0.872,0.013363153563452,"F8","Plate 01","F","PB1229",20
1,8,58.9550198757531,0.0593948872594374,0.0132499999746634,0.7895,0.0214952884615384,"E8","Plate 01","E","PB1229",20
1,8,36.1392519459954,0.0273406274969351,-0.0159999896460722,0.803272727272727,0.027739171145126,"C8","Plate 01","C","PB1229",20
1,8,38.0532926684781,0.0241670731421105,-0.014999999020295,0.7954,0.0335832461003247,"B8","Plate 01","B","PB1229",20
1,8,70.8623377890102,0.0677697740145532,0.224599999567426,0.817272729191406,0.0931012665446338,"G8","Plate 01","G","PB1229",20
1,8,31.9405026407116,0.000142438277386116,0.0454999999854294,-0.0072727242696804,0.118958034021049,"D8","Plate 01","D","PB1229",20
1,8,28.9302935669763,-0.00821628161107978,0.0754999998802029,0.518363637717717,2.53209766497645,"A8","Plate 01","A","PB1229",20
1,8,62.9990006108306,0.0394385114681434,0.381499999950342,0.883363636363636,0.0101474625716626,"H8","Plate 01","H","PB1229",20
1,9,43.9998914987839,0.0387464564981253,0.059000000154859,0.799412614776474,0.00939150820347144,"G9","Plate 01","G","PB1142",20
1,9,24.362672735948,0.00652399085327193,0.119499999941196,0.799076923076923,2.08580506368765,"D9","Plate 01","D","PB1142",20
1,9,52.937500148136,0.0030701134573249,0.87525,0.909307692307692,0.000209519230769231,"F9","Plate 01","F","PB1142",20
1,9,44.9965603842186,0.0334569148543571,0.505871271419764,0.88246153846153,0.016374666795675,"E9","Plate 01","E","PB1142",20
1,9,43.1186760166161,0.0629403298751786,-0.0563333332956352,0.773615384615385,0.0345795948617593,"A9","Plate 01","A","PB1142",20
1,9,52.4509149886539,0.0376337826241953,0.076750000119124,0.812818181818182,0.0101556548321048,"C9","Plate 01","C","PB1142",20
1,9,50.500000001142,0.0702288453363184,0.04425,0.791076923076923,0.0395536730769231,"B9","Plate 01","B","PB1142",20
1,9,36.2119158865255,-0.00275397401601372,-0.0590000001624312,0.731000000687022,4.43866700693205,"H9","Plate 01","H","PB1142",20
2,1,70.5410979246643,0.00624267458013912,-0.474249999032243,0.875000008732505,1.71810259353614,"A1","Plate 02","A","S-media + bacteria",29
2,1,-75.6072960502698,-0.0345387734512741,-0.359749999761414,-0.191615384592411,0.261086656845318,"G1","Plate 02","G","S-media + bacteria",29
2,1,40.8490314270461,0.0102377167763984,-0.320000000108896,-0.155384615384615,0.128709256962216,"F1","Plate 02","F","S-media + bacteria",29
2,1,29.7285195734702,-0.0262494617652716,-0.4,-0.440400000045772,0.0957133199957707,"H1","Plate 02","H","S-media + bacteria",29
2,1,69.5022202807404,0.031660544838044,0.19316666667038,0.438909090665835,0.599438005272565,"D1","Plate 02","D","S-media + bacteria",29
2,1,34.1060262618994,-0.0021697841928844,-0.0412499998967003,0.168700000076715,1.17316635522744,"C1","Plate 02","C","S-media + bacteria",29
2,1,41.6766159022217,0.00557973483745816,0.0569999995646736,0.615777777653549,0.496380472960023,"E1","Plate 02","E","S-media + bacteria",29
2,1,37.1963701426346,0.00119950835504711,-0.179666668221367,0.202666666347245,0.999651323160286,"B1","Plate 02","B","S-media + bacteria",29
2,10,65.8019296807853,0.140841456265426,-0.331999999906166,0.778384615372191,0.858788005027527,"A10","Plate 02","A","PB1149",29
2,10,70.875161501936,0.1251071237622,-0.17775,0.808384615401544,0.458904974586298,"H10","Plate 02","H","PB1149",29
2,10,52.1482213440366,0.0970923380897943,-0.29175,0.756153846153846,0.0499144423076923,"E10","Plate 02","E","PB1149",29
2,10,61.6115396913292,0.058081153120083,-0.220749999990678,0.766545454545455,0.0921662988943488,"B10","Plate 02","B","PB1149",29
2,10,54.7323420069856,0.103232564999142,-0.1865,0.753923076923077,0.0238919230769231,"G10","Plate 02","G","PB1149",29
2,10,54.7048868145977,0.0697712803305307,-0.306999999999296,0.764,0.0651543461538462,"F10","Plate 02","F","PB1149",29
2,10,65.1149911400267,0.108605252758644,-0.0122500000939942,0.781615384618195,0.561089726727298,"D10","Plate 02","D","PB1149",29
